#Event Number   e2s             e3s             
57104           0.0324718       0.128149        
57109           0.0928008       0.0627033       
57156           0.0593538       0.0927935       
57273           0.0549409       0.07768         
57331           0.0934512       0.176925        
57409           0.0418395       0.0940583       
57507           0.0461825       0.04004         
57567           0.112075        0.0558212       
57693           0.0920545       0.0807825       
57767           0.0460447       0.0839355       
57808           0.0664441       0.0552489       
58228           0.06517         0.150295        
58311           0.0595312       0.0490078       
58314           0.0442412       0.0437891       
58400           0.11253         0.0754249       
58541           0.0712341       0.0780709       
58817           0.0969087       0.0818701       
58911           0.115753        0.0839405       
59000           0.0624438       0.0852505       
59045           0.108634        0.0369156       
59186           0.0772343       0.0453923       
59213           0.033361        0.0547404       
59256           0.0871801       0.0456164       
59429           0.0236655       0.102917        
59497           0.0590122       0.116915        
59557           0.100474        0.0845391       
59561           0.0637716       0.055264        
59714           0.108219        0.0162847       
59723           0.161215        0.0304022       
59731           0.142698        0.00647367      
59804           0.053275        0.0862142       
59809           0.0689324       0.0505397       
59832           0.0537405       0.138922        
59879           0.0536648       0.0253472       
59904           0.044529        0.0509839       
59911           0.122349        0.0172144       
59965           0.15816         0.082734        
60011           0.0735794       0.0613531       
60067           0.0997044       0.130704        
60118           0.0470142       0.021432        
60151           0.0925368       0.153323        
60153           0.0968264       0.0548671       
60650           0.0540976       0.113536        
61370           0.136627        0.107434        
61406           0.0470049       0.10186         
61458           0.0373464       0.0743556       
61598           0.104929        0.00747749      
61673           0.0807945       0.0359745       
61695           0.0520758       0.102216        
61917           0.12442         0.124294        
61933           0.0398031       0.0701914       
62003           0.138415        0.0633457       
62012           0.0173972       0.0300104       
62074           0.0593027       0.0811231       
62086           0.114299        0.0195952       
62092           0.151136        0.08949         
62095           0.0545475       0.0392909       
62264           0.0913963       0.0669406       
62518           0.0999203       0.0665092       
62565           0.191655        0.115881        
62698           0.0974442       0.0530943       
62832           0.0767482       0.0997538       
62833           0.0926157       0.157512        
62837           0.0631651       0.0675605       
62983           0.12482         0.159332        
63006           0.0960753       0.0793534       
63193           0.052514        0.0289159       
63232           0.0945665       0.109547        
63340           0.144437        0.0244036       
63475           0.0849003       0.0914644       
63530           0.0805166       0.050486        
63591           0.0639051       0.0848631       
63599           0.14406         0.030613        
63666           0.017706        0.0338033       
63811           0.147064        0.0707831       
63877           0.0963413       0.057843        
63924           0.02074         0.0418474       
64458           0.0171186       0.0381401       
64469           0.0408698       0.168282        
64472           0.0929511       0.0828252       
64687           0.0687812       0.0258411       
64700           0.059279        0.14525         
64719           0.0823529       0.0826294       
64872           0.0694237       0.0887956       
64896           0.0704363       0.125187        
64961           0.0445118       0.0866234       
65062           0.0314966       0.0423976       
65097           0.0505352       0.0628024       
65170           0.0183893       0.0388924       
65598           0.0939478       0.196292        
65619           0.0389181       0.00763498      
65953           0.0545061       0.132201        
65996           0.0940309       0.10773         
66062           0.0827985       0.0504416       
66065           0.0783736       0.0670869       
66191           0.0950856       0.0746464       
66249           0.0107498       0.086488        
66437           0.0138642       0.00587733      
